tweets,id,name,location,coordinates,created_at,favorite_count,geo,place,source
"@batmans_chic what we heard was the idiot/thug Trump saying it was a hoax, then it would be gone soon,  then to dri… https://t.co/F0ilf9Gx3Y",1.258543719365501e+18,LetMePutNMy2Cents,"Texas, USA",,2020-05-07,0.0,,,Twitter Web App
"RT @cuchulain9: @jentaub What's the problem?  Pop some hydroxychloroquine, shoot up some clorox and you're fully protected against the hoax…",1.258543718832857e+18,StayWoke & Vote,,,2020-05-07,0.0,,,Twitter Web App
"RT @WSJ: While makers of other hard-to-find staples are catching up with demand, the producers of Clorox, Lysol and private-label wipes are…",1.258543717394215e+18,Raok Raven TV,Northwest WA OR LA NY P. Earth,,2020-05-07,0.0,,,Twitter for iPhone
RT @seungminkim: “Clorox said it doesn’t expect to catch up (with demand) until summer” 🤯 https://t.co/pYV3TNvRqg,1.2585437100080128e+18,brent bentley,,,2020-05-07,0.0,,,Twitter for iPhone
"RT @DavidMarkoMiami: How can anyone have confidence in returning to any kind of normal if we can’t get access to Lysol spray, Clorox wipes,…",1.258543659093422e+18,CJ Moose ⚒🌋,,,2020-05-07,0.0,,,Twitter for iPhone
@kameeezz Costco Waipio has a lot of toilet paper &amp; Clorox wipes. I just came from there,1.258543646493696e+18,bonbon🍭,,,2020-05-07,0.0,,,Twitter for iPhone
"RT @NBCNightlyNews: Clorox factories go into overdrive to meet demand amid the fight against the coronavirus. https://t.co/yyMRwwmKI8

@Rep…",1.2585436025122202e+18,Gonzalo Barría Pérez,"Puerto Montt - Santiago, Chile",,2020-05-07,0.0,,,Twitter for iPhone
RT @seungminkim: “Clorox said it doesn’t expect to catch up (with demand) until summer” 🤯 https://t.co/pYV3TNvRqg,1.2585435545797222e+18,helen MONSTA X✨✨ (nsfr),"Illinois, USA",,2020-05-07,0.0,,,Twitter for iPhone
"RT @WSJ: While makers of other hard-to-find staples are catching up with demand, the producers of Clorox, Lysol and private-label wipes are…",1.2585435409817805e+18,helen MONSTA X✨✨ (nsfr),"Illinois, USA",,2020-05-07,0.0,,,Twitter for iPhone
RT @RJP56: @robreiner Oh my goodness! Didn't you inject yourself with Clorox this morning and inhale the Lysol? https://t.co/DhCFYZn7A7,1.2585435006661427e+18,Toni Howard,,,2020-05-07,0.0,,,Twitter for Android
@Dar_Thatcher tRUMP uses a clorox wipe or two for a napkin 🤣😂🤣😂,1.258543456579752e+18,Alex Lynn0096201 🇺🇸CLEAR EYES FULL HEART,South.Jersey-Jersey Shore,,2020-05-07,0.0,,,Twitter Web App
RT @seungminkim: “Clorox said it doesn’t expect to catch up (with demand) until summer” 🤯 https://t.co/pYV3TNvRqg,1.2585433988410122e+18,Jan,,,2020-05-07,0.0,,,Twitter for iPhone
@WSJ You know I used these for YEARS well before people finally bought them and I’m crawling the walls not having t… https://t.co/bn6MGgSZuS,1.2585433087012372e+18,Tracy S.,"Las Vegas, NV",,2020-05-07,9.0,,,Twitter for iPhone
"RT @bennyc50: *Pours a Clorox on the rocks*
*gives up on humanity*",1.2585432800289587e+18,Dave_MN,,,2020-05-07,0.0,,,Twitter for iPhone
"RT @tagruber: #Swamp_Busters #2268
Told you not to use Clorox

@stlpcs
@gonepecan11
@FrancoTrumpster
@GGlocksX
@JDPHD2
@tagruber
@gunsandco…",1.2585432336483574e+18,Gemini Guy,"Virginia Beach, VA",,2020-05-07,0.0,,,Twitter for iPhone
"RT @tagruber: #Swamp_Busters #2268
Told you not to use Clorox

@stlpcs
@gonepecan11
@FrancoTrumpster
@GGlocksX
@JDPHD2
@tagruber
@gunsandco…",1.2585431097947873e+18,CONSERVATIVE MEMAW,"North Carolina, USA",,2020-05-07,0.0,,,Twitter for Android
RT @seungminkim: “Clorox said it doesn’t expect to catch up (with demand) until summer” 🤯 https://t.co/pYV3TNvRqg,1.2585431095179346e+18,slg Flame stan account,Socal,,2020-05-07,0.0,,,Twitter for iPhone
"RT @WSJ: While makers of other hard-to-find staples are catching up with demand, the producers of Clorox, Lysol and private-label wipes are…",1.258543080099033e+18,slg Flame stan account,Socal,,2020-05-07,0.0,,,Twitter for iPhone
RT @Orwellian25: @JeffreyGuterman Or perhaps a cocktail of clorox and body light? https://t.co/jytyG3zddV,1.2585430568416174e+18,Angela S.,United States,,2020-05-07,0.0,,,Twitter for iPhone
"Cristina Cuomo Defends Prescribed Bleach Bath, Says Family Feels ‘So Much Better’ A...https://t.co/WncKUHvAwO",1.2581846894263337e+18,Helen Fehir,,,2020-05-06,0.0,,,Twitter Web Client
"Me: should we get some Clorox 2 to revive your darks 

@yolandanocturn : https://t.co/5zsERWILG8",1.258184687614337e+18,monobrowmegan,Nowhere,,2020-05-06,1.0,,,Twitter for iPhone
"#يوسف_العماري
.
تم تعديل الصورة بنجاح 🌚🤝",1.2581846544416563e+18,شمس الحياة 🌕❤,,,2020-05-06,0.0,,,Twitter for Android
"RT @NBCNightlyNews: Clorox factories go into overdrive to meet demand spurred by coronavirus. https://t.co/yyMRww59jy

@ReporterBlayne has…",1.2581845415349576e+18,HOLLINGS ELKE,,,2020-05-06,0.0,,,Twitter for Android
RT @jmoonique: Haciendo un video para mi cuenta de maquillaje y me pongo CLOROX en el pelo pensando que era aguaaaa lo que había ahiii! htt…,1.2581844959639634e+18,Nairobi,"Carolina, Puerto Rico",,2020-05-06,0.0,,,Twitter for iPhone
RT @jmoonique: Haciendo un video para mi cuenta de maquillaje y me pongo CLOROX en el pelo pensando que era aguaaaa lo que había ahiii! htt…,1.2581843508620534e+18,Cindy🐚,"Puerto Rico, USA",,2020-05-06,0.0,,,Twitter for iPhone
"Good morning, family!
This #WishlistWednesday, we pray for:
🎼5-6 portable radio/CD players for classrooms-… https://t.co/VlTs3VNxWN",1.258184315550208e+18,Rock House Kids,"1325 7th Street, Rockford, Il",,2020-05-06,0.0,,,Twitter for Android
RT @jmoonique: Haciendo un video para mi cuenta de maquillaje y me pongo CLOROX en el pelo pensando que era aguaaaa lo que había ahiii! htt…,1.258184269647745e+18,𝕾𝖍𝖆𝖐𝖎𝖗𝖆 𝕽𝖊𝖞𝖊𝖘 𝕿𝖔𝖗𝖗𝖊𝖘,,,2020-05-06,0.0,,,Twitter for iPhone
"RT @NBCNightlyNews: Clorox factories go into overdrive to meet demand spurred by coronavirus. https://t.co/yyMRww59jy

@ReporterBlayne has…",1.2581842650465198e+18,Edward Stilson,www.facebook.com,,2020-05-06,0.0,,,Twitter for Android
@dorianp626 Are you trying to make sense to these people?  Don’t waste your time.  They are idjiots and don’t have… https://t.co/WYSomhHHMx,1.2581842530507407e+18,MaryPee,United States,,2020-05-06,0.0,,,Twitter for iPhone
RT @paeznyc: Clorox sees 500 percent increase in demand for disinfectants as it ramps up production https://t.co/TtRFuDBohw #politics #feed…,1.258184239046103e+18,Ani Sangye 🆘️ ⚖,"Maryland, USA",,2020-05-06,0.0,,,Twitter for Android
"@poppo72741611 @render_nyc @StevenJCBuckley @parscale And, no, he didn't say ""Drink Clorox"". He said worse.",1.258184206989099e+18,/𝟛𝟚,"Portland, OR",,2020-05-06,0.0,,,Twitter for Android
RT @jmoonique: Haciendo un video para mi cuenta de maquillaje y me pongo CLOROX en el pelo pensando que era aguaaaa lo que había ahiii! htt…,1.25818420426274e+18,eiram,,,2020-05-06,0.0,,,Twitter for iPhone
@SurvivinAmerica @Mama_Cram Do they even still make Clorox wipes?,1.258184200227881e+18,Marcus Lee,"Virginia, USA",,2020-05-06,0.0,,,Twitter for iPhone
@Voice4Stuff I would definitely be there! I’d have some Clorox wipes with me to wipe down my seat and surrounding surface.,1.2581841486209843e+18,Claudia🌵🥅🏒,Arizona,,2020-05-06,2.0,,,Twitter for iPhone
RT @gtconway3d: If you’d a told me 10 years ago I’d be maxing out to Joe Biden because our current president is a deranged criminal who thi…,1.2581841344444293e+18,Ken Griffiths,Michigan,,2020-05-06,0.0,,,Twitter for Android
All I want for Mother’s Day is a container of Clorox wipes 😷🦠🧼,1.2581841212700508e+18,TT,,,2020-05-06,1.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='6d716125b43cb735', url='https://api.twitter.com/1.1/geo/id/6d716125b43cb735.json', place_type='city', name='Algonquin', full_name='Algonquin, IL', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-88.383751, 42.124838], [-88.198981, 42.124838], [-88.198981, 42.241892], [-88.383751, 42.241892]]]), attributes={})",Twitter for iPhone
RT @jmoonique: Haciendo un video para mi cuenta de maquillaje y me pongo CLOROX en el pelo pensando que era aguaaaa lo que había ahiii! htt…,1.2581840478110147e+18,Kineysha✨,Puerto Rico,,2020-05-06,0.0,,,Twitter for iPhone
@Robert_E_Kelly If only he knew what Clorox was.,1.2581838878989722e+18,Robert,"Philadelphia, PA",,2020-05-06,0.0,,,Twitter for iPhone
RT @jmoonique: Haciendo un video para mi cuenta de maquillaje y me pongo CLOROX en el pelo pensando que era aguaaaa lo que había ahiii! htt…,1.258183847201702e+18,💮JMRÇ💮,EastCoast 00773☀️,,2020-05-06,0.0,,,Twitter for iPhone
RT @jmoonique: Haciendo un video para mi cuenta de maquillaje y me pongo CLOROX en el pelo pensando que era aguaaaa lo que había ahiii! htt…,1.258183705761325e+18,Naá♋,🌈,,2020-05-06,0.0,,,Twitter for iPhone
"@brat2381 I have some Clorox wipes on my passenger seat, should I be worried?",1.258183572206256e+18,Lkbolden,,,2020-05-06,1.0,,,Twitter Web App
RT @CGAArgentina: Las grandes empresas pueden llamar a @gargantapodero xa que articule 'su colaboración' c/ los compatriotas d la Villa 31.…,1.2581835504211395e+18,Debora,Argentina,,2020-05-06,0.0,,,Twitter for Android
Nice story on Clorox https://t.co/lqBwXmAG0D,1.258183373727699e+18,Dusky Literati,"Durham, NC",,2020-05-06,0.0,,,Twitter Web Client
RT @jmoonique: Haciendo un video para mi cuenta de maquillaje y me pongo CLOROX en el pelo pensando que era aguaaaa lo que había ahiii! htt…,1.2581833000630764e+18,Figue 🔱,Puerto Rico,,2020-05-06,0.0,,,Twitter for iPhone
RT @jmoonique: Haciendo un video para mi cuenta de maquillaje y me pongo CLOROX en el pelo pensando que era aguaaaa lo que había ahiii! htt…,1.2581832594832466e+18,•,,,2020-05-06,0.0,,,Twitter for iPhone
@Mama_Cram Can’t find Clorox wipes anywhere...,1.2581830849077862e+18,Annie Apple,,,2020-05-06,0.0,,,Twitter for iPhone
"RT @NBCNightlyNews: Clorox factories go into overdrive to meet demand spurred by coronavirus. https://t.co/yyMRww59jy

@ReporterBlayne has…",1.2581830593560535e+18,Randy,"Los Angeles, CA",,2020-05-06,0.0,,,Twitter for iPhone
RT @jmoonique: Haciendo un video para mi cuenta de maquillaje y me pongo CLOROX en el pelo pensando que era aguaaaa lo que había ahiii! htt…,1.258183049239507e+18,𝓘𝓽 𝔀𝓪𝓼𝓷’𝓽 𝓶𝓮.,,,2020-05-06,0.0,,,Twitter for iPhone
RT @jmoonique: Haciendo un video para mi cuenta de maquillaje y me pongo CLOROX en el pelo pensando que era aguaaaa lo que había ahiii! htt…,1.2581830376674673e+18,𝙽𝚊𝚝,,,2020-05-06,0.0,,,Twitter for iPhone
RT @jmoonique: Haciendo un video para mi cuenta de maquillaje y me pongo CLOROX en el pelo pensando que era aguaaaa lo que había ahiii! htt…,1.2581829487062917e+18,Didi 🧞‍♀️,"Caguas, Puerto Rico",,2020-05-06,0.0,,,Twitter for iPhone
@OANN @CSinclairtv @ChanelRion This isn’t Clorox again is it?,1.2581829424525804e+18,Fools! Said I,‘Neath the halo ofa streetlamp,,2020-05-06,0.0,,,Twitter for iPad
RT @jmoonique: Haciendo un video para mi cuenta de maquillaje y me pongo CLOROX en el pelo pensando que era aguaaaa lo que había ahiii! htt…,1.258182938400895e+18,ana,"Tampa, FL",,2020-05-06,0.0,,,Twitter for iPhone
"RT @TBlountSports: So far today, Mad King Clorox has insulted Jimmy Kimmel, Jimmy Fallon, Stephen Colbert, Steve Schmidt, George Conway, De…",1.2581829305071944e+18,Kristi B,"Kentucky, USA",,2020-05-06,0.0,,,Twitter for Android
RT @jmoonique: Haciendo un video para mi cuenta de maquillaje y me pongo CLOROX en el pelo pensando que era aguaaaa lo que había ahiii! htt…,1.2581828657051976e+18,Sandoval,Morovis/Bayamón,,2020-05-06,0.0,,,Twitter for iPhone
RT @NBCNightlyNews: .@ReporterBlayne gives us an exclusive look inside a Clorox factory in Georgia. Tune in to @NBCNightlyNews now.,1.2581828070351053e+18,Katey,,,2020-05-06,0.0,,,Twitter for Android
RT @jmoonique: Haciendo un video para mi cuenta de maquillaje y me pongo CLOROX en el pelo pensando que era aguaaaa lo que había ahiii! htt…,1.2581827960294318e+18,Alondra🌻,Dominican Republic,,2020-05-06,0.0,,,Twitter for iPhone
RT @jmoonique: Haciendo un video para mi cuenta de maquillaje y me pongo CLOROX en el pelo pensando que era aguaaaa lo que había ahiii! htt…,1.258182568761008e+18,Frankie,,,2020-05-06,0.0,,,Twitter for iPhone
RT @jmoonique: Haciendo un video para mi cuenta de maquillaje y me pongo CLOROX en el pelo pensando que era aguaaaa lo que había ahiii! htt…,1.2581824971852677e+18,❁Noa❁,South ,,2020-05-06,0.0,,,Twitter for iPhone
The joy I feel smelling the crisp lemon scent of the daily Clorox wipe down of household items/knobs is almost to e… https://t.co/D4GpNefMu0,1.2581823730966036e+18,𝙎𝙪𝙨𝙖𝙣 💚🦆🌹💛,Orygun,,2020-05-06,3.0,,,Twitter for iPhone
RT @jmoonique: Haciendo un video para mi cuenta de maquillaje y me pongo CLOROX en el pelo pensando que era aguaaaa lo que había ahiii! htt…,1.2581821283003638e+18,Alanis Michelle💗,,,2020-05-06,0.0,,,Twitter for iPhone
@Romangod7 @morten @realDonaldTrump He bragged about 1% tested.. to stupid to know thats failure.. capn clorox does… https://t.co/1lltoxenAQ,1.258182086164267e+18,shawn lutz,"Spokane, WA",,2020-05-06,1.0,,,Twitter for Android
"RT @NBCNightlyNews: Clorox factories go into overdrive to meet demand spurred by coronavirus. https://t.co/yyMRww59jy

@ReporterBlayne has…",1.258181952106115e+18,Steve-‘He is an Absolute Chaotic Disaster’ Arthur,DEMS WILL VOTE IN DROVES ,,2020-05-06,0.0,,,Twitter for iPhone
"@RyanAFournier @laneylane25 Neither: Clorox, alcohol and Lysol.",1.2581818739955917e+18,Black Warrior Lures,"Black Warrior River, USA",,2020-05-06,0.0,,,Twitter Web App
RT @jmoonique: Haciendo un video para mi cuenta de maquillaje y me pongo CLOROX en el pelo pensando que era aguaaaa lo que había ahiii! htt…,1.25818185255424e+18,FEFITA,,,2020-05-06,0.0,,,Twitter for iPhone
RT @jmoonique: Haciendo un video para mi cuenta de maquillaje y me pongo CLOROX en el pelo pensando que era aguaaaa lo que había ahiii! htt…,1.2581817705850184e+18,𝐣𝐚𝐧,ponce,,2020-05-06,0.0,,,Twitter for iPhone
"@ThatChrisRyan Bet henching double act for sure.

Now I'll have to inhale some Clorox to scrub the mental image of… https://t.co/xSTcVzzE79",1.2581816429438935e+18,Whatsinaname,Denmark,,2020-05-06,0.0,,,Twitter Web App
RT @jmoonique: Haciendo un video para mi cuenta de maquillaje y me pongo CLOROX en el pelo pensando que era aguaaaa lo que había ahiii! htt…,1.258181568113279e+18,fernanda,"Caguas, Puerto Rico",,2020-05-06,0.0,,,Twitter for iPhone
@reviewjournal I did. Spent that $1200 on Clorox baby! Thanks gramps! Let’s reopen the strip and party! #maga… https://t.co/RYSceml3LI,1.258181541110231e+18,whateveryouwantittobe,Who’s askin?,,2020-05-06,0.0,,,Twitter Web App
"RT @NBCNightlyNews: Clorox factories go into overdrive to meet demand spurred by coronavirus. https://t.co/yyMRww59jy

@ReporterBlayne has…",1.25818151605769e+18,Michael D Martin,,,2020-05-06,0.0,,,Twitter for Android
@AndreaR9Md Clorox,1.2581814379976704e+18,Nigel💙🇨🇦🇺🇸🇲🇽🌊🌊,Planet Earth,,2020-05-06,4.0,,,Twitter for iPhone
RT @jmoonique: Haciendo un video para mi cuenta de maquillaje y me pongo CLOROX en el pelo pensando que era aguaaaa lo que había ahiii! htt…,1.2581813883705754e+18,Marangeℓiz,Puerto Rico,,2020-05-06,0.0,,,Twitter for iPhone
RT @jmoonique: Haciendo un video para mi cuenta de maquillaje y me pongo CLOROX en el pelo pensando que era aguaaaa lo que había ahiii! htt…,1.2581813811480248e+18,aries♈️,,,2020-05-06,0.0,,,Twitter for iPhone
"Never thought I’d create a card with a message that mentions an infectious disease doctor and Clorox wipes, but wel… https://t.co/zTz5rEtDBo",1.2581813247430738e+18,Liv Lane,Minneapolis,,2020-05-06,7.0,,,Twitter for iPhone
"RT @ddanpereira: @Yamiche Trump did a Town Hall right next to the Lincoln Memorial! Quick, send a hundred people with Lysol &amp; Clorox to dis…",1.2581812868726129e+18,R Lawson,"Pompano Beach, FL",,2020-05-06,0.0,,,Twitter for iPhone
RT @jmoonique: Haciendo un video para mi cuenta de maquillaje y me pongo CLOROX en el pelo pensando que era aguaaaa lo que había ahiii! htt…,1.25818112975403e+18,yavier 🤴🏾,"Jayuya, Puerto Rico",,2020-05-06,0.0,,,Twitter for iPhone
RT @jmoonique: Haciendo un video para mi cuenta de maquillaje y me pongo CLOROX en el pelo pensando que era aguaaaa lo que había ahiii! htt…,1.2581809736000922e+18,Jorge,,,2020-05-06,0.0,,,Twitter for iPhone
RT @jmoonique: Haciendo un video para mi cuenta de maquillaje y me pongo CLOROX en el pelo pensando que era aguaaaa lo que había ahiii! htt…,1.2581809359687516e+18,𝖆,por ahí,,2020-05-06,0.0,,,Twitter for iPhone
"@jefftimmer @MarshaBlackburn If she included the right to sue president Clorox for criminal negligence, she’d be on to something",1.2581809048050033e+18,Abe Bresn,,,2020-05-06,0.0,,,Twitter for iPhone
RT @jmoonique: Haciendo un video para mi cuenta de maquillaje y me pongo CLOROX en el pelo pensando que era aguaaaa lo que había ahiii! htt…,1.2581808755918275e+18,Paulette Sophia,,,2020-05-06,0.0,,,Twitter for iPhone
Lo dice el que recomendaba tomar clorox. https://t.co/f350YMjsJR,1.2581808082312643e+18,Yuyin,Perú,,2020-05-06,0.0,,,Twitter for iPhone
"@ruthyoest Tweet away, it's not just the Clorox talking, you guys are the tops.",1.2581807443224863e+18,Freddie Johnson,,,2020-05-06,1.0,,,Twitter Web App
@illumi95 يكرهونك عشانك ناجح وانت انسان إيجابي ونابذ للسلبيه,1.258180558766723e+18,🎮 كلوركس 🎬,شركة أبوداودللصناعةمصنع كلوركس,,2020-05-06,0.0,,,Twitter for Android
RT @jmoonique: Haciendo un video para mi cuenta de maquillaje y me pongo CLOROX en el pelo pensando que era aguaaaa lo que había ahiii! htt…,1.2581804201238856e+18,adrián,Puerto Rico ,,2020-05-06,0.0,,,Twitter for iPhone
RT @jmoonique: Haciendo un video para mi cuenta de maquillaje y me pongo CLOROX en el pelo pensando que era aguaaaa lo que había ahiii! htt…,1.2581803865695355e+18,papo nertelo,,,2020-05-06,0.0,,,Twitter for iPhone
@roper_93 Imagine A presidential telling people to drink Clorox to kill the covid 19,1.258180375672578e+18,maggie martin,,,2020-05-06,2.0,,,Twitter for iPhone
RT @jmoonique: Haciendo un video para mi cuenta de maquillaje y me pongo CLOROX en el pelo pensando que era aguaaaa lo que había ahiii! htt…,1.2581802303485092e+18,Jone,Puerto Rico,,2020-05-06,0.0,,,Twitter for iPhone
@Bigfootmom @JoshuaPotash Thank FOX News. I surprised more people in Eastern Washington aren't drinking clorox per… https://t.co/fLHN14StKC,1.258180210026926e+18,Awareness,,,2020-05-06,0.0,,,Twitter for Android
RT @jmoonique: Haciendo un video para mi cuenta de maquillaje y me pongo CLOROX en el pelo pensando que era aguaaaa lo que había ahiii! htt…,1.258180172475437e+18,elianned marie,Puerto Rico,,2020-05-06,0.0,,,Twitter for iPhone
"@MikeOHearn I think we can inject them with Lysol &amp; Clorox! It'll work, I swear it!",1.2581801707431895e+18,King Donald I - King Of All Asses,"Houston, Texas",,2020-05-06,0.0,,,Twitter Web App
"RT @NBCNightlyNews: Clorox factories go into overdrive to meet demand spurred by coronavirus. https://t.co/yyMRww59jy

@ReporterBlayne has…",1.258180037704065e+18,RESOLUTE,VA,,2020-05-06,0.0,,,Twitter for iPhone
"Quarantine day 1732

Got some new cleaner (to essentially replace clorox wipes). Worked so well I decided to clean… https://t.co/GytV4nRBmW",1.2581800214008095e+18,Larry Starkey,GA,,2020-05-06,0.0,,,Talon (Plus)
RT @jmoonique: Haciendo un video para mi cuenta de maquillaje y me pongo CLOROX en el pelo pensando que era aguaaaa lo que había ahiii! htt…,1.2581799273519677e+18,BRIAN🌹,"Clearwater, FL",,2020-05-06,0.0,,,Twitter for iPhone
"@zer0wl_ @render_nyc @StevenJCBuckley @parscale Please provide the transcript where Trump specially said ""Drink Clorox""......",1.2581797559852483e+18,Poppa Smollet💎,"Florida, USA",,2020-05-06,0.0,,,Twitter Web App
RT @jmoonique: Haciendo un video para mi cuenta de maquillaje y me pongo CLOROX en el pelo pensando que era aguaaaa lo que había ahiii! htt…,1.2581797248215654e+18,lek,"Caguas, Puerto Rico",,2020-05-06,0.0,,,Twitter for iPhone
"RT @Real_A_R: Four months after the virus began we still can't readily find items like rubbing alcohol, hand cleaner, paper towels, latex g…",1.2581795503341814e+18,Carol Grace,"California, USA",,2020-05-06,0.0,,,Twitter for Android
@TomTemple8 @dontyouknow2017 @_Kel_Varnsen_ @MondaryJohn @TimMurtaugh @PressSec @kayleighmcenany 😂 have you injecte… https://t.co/waLAl3NX0E,1.2581795071875932e+18,james hobart,,,2020-05-06,1.0,,,Twitter for iPhone
"@heathie17ppg @idrinkanarchy I would also bring my own masks, clorox wipes, extra soap, antibacterial gel... Not th… https://t.co/TM7Ls0KDi4",1.2581794712382218e+18,Righteous Trollop 🧜‍♀️🍸,,,2020-05-06,0.0,,,Twitter for iPhone
"RT @NBCNightlyNews: Clorox factories go into overdrive to meet demand spurred by coronavirus. https://t.co/yyMRww59jy

@ReporterBlayne has…",1.2581794691871252e+18,PinkMoon,,,2020-05-06,0.0,,,Twitter for iPhone
"@NBCNightlyNews @ReporterBlayne Watched this live, saw little resourcefulness in addressing capacity. Shelves have… https://t.co/EZtbIJ3j6s",1.2581793760735805e+18,Jenifer Bartman,Canada,,2020-05-06,2.0,,,Twitter for iPad
Drink Clorox #TrumpsBestSarcasticQuips,1.2581793368023736e+18,Lucy,somewhere up north. ,,2020-05-06,0.0,,,Twitter for Android
"🤦🏻‍♂️- Ppl act like @BillGates will recommend drinking @Clorox or probing ppl with UV light 💡 .... &amp; if he did, I’d… https://t.co/bMUVYMe6Ai",1.2581792659185336e+18,stocks & common sense,"Wauwatosa, WI",,2020-05-06,1.0,,,Twitter for iPhone
@Stop_Fentanyl @MichaelLuff7 @MainStreetMuse @TimMurtaugh @parscale @PressSec @kayleighmcenany He is your dear lead… https://t.co/Hu9I8JUsR1,1.258179235212116e+18,james hobart,,,2020-05-06,0.0,,,Twitter for iPhone
RT @jmoonique: Haciendo un video para mi cuenta de maquillaje y me pongo CLOROX en el pelo pensando que era aguaaaa lo que había ahiii! htt…,1.258179194124669e+18,p𝕒𝕠 ♡,Morovis ,,2020-05-06,0.0,,,Twitter for iPhone
@ChuckCallesto @realDonaldTrump You’re not too bright are you! Please tell me you aren’t thinking about chugging so… https://t.co/q0A71yuarP,1.2581790736558326e+18,pjma,,,2020-05-06,0.0,,,Twitter Web App
"Hey, remember, you don't have to be a grandma killer if you take a shot of clorox before leaving the house. Take on… https://t.co/LTeAhqtIqh",1.2581790477308396e+18,"Call me X Æ A-12, Mr. Crazy was my dad",From inside the house,,2020-05-06,3.0,,,Twitter Web App
He look like he been hittin' the Clorox-Lysol Magatini.  Sen. Rand Paul says he didn't wear a mask to the Senate be… https://t.co/Q5cuqQZeL0,1.2581788718132675e+18,Merna Brostoff,,,2020-05-06,1.0,,,Twitter for Android
RT @jmoonique: Haciendo un video para mi cuenta de maquillaje y me pongo CLOROX en el pelo pensando que era aguaaaa lo que había ahiii! htt…,1.2581788303653315e+18,🦋,Diosa anazona🧝🏽‍♀️,,2020-05-06,0.0,,,Twitter for iPhone
"RT @Real_A_R: Four months after the virus began we still can't readily find items like rubbing alcohol, hand cleaner, paper towels, latex g…",1.2581787966724751e+18,America 1st Jinksy,"Northeastern Pennsylvania, USA",,2020-05-06,0.0,,,Twitter for Android
RT @DohaMadani: Thank you to all the Clorox workers working so hard to get us these essential goods 🙏🏽,1.2581787282675835e+18,Lisa Applegate,"Kentucky, USA",,2020-05-06,0.0,,,Twitter for iPhone
RT @jmoonique: Haciendo un video para mi cuenta de maquillaje y me pongo CLOROX en el pelo pensando que era aguaaaa lo que había ahiii! htt…,1.2581787273741763e+18,maze,Puerto Rico,,2020-05-06,0.0,,,Twitter for iPhone
RT @jmoonique: Haciendo un video para mi cuenta de maquillaje y me pongo CLOROX en el pelo pensando que era aguaaaa lo que había ahiii! htt…,1.2581786268199608e+18,J U L I S A,,,2020-05-06,0.0,,,Twitter for iPhone
RT @jmoonique: Haciendo un video para mi cuenta de maquillaje y me pongo CLOROX en el pelo pensando que era aguaaaa lo que había ahiii! htt…,1.2581785171724739e+18,Sofía Inés Torres Ma,,,2020-05-06,0.0,,,Twitter for iPhone
"RT @NBCNightlyNews: Clorox factories go into overdrive to meet demand spurred by coronavirus. https://t.co/yyMRww59jy

@ReporterBlayne has…",1.2581784951145513e+18,Janis #Persist #Resist,"Georgia, USA",,2020-05-06,0.0,,,Twitter for Android
Thank you to all the Clorox workers working so hard to get us these essential goods 🙏🏽 https://t.co/wECilAK8DI,1.2581783883737498e+18,Doha Madani,"New York, NY",,2020-05-06,5.0,,,Twitter Web App
"RT @NBCNightlyNews: Clorox factories go into overdrive to meet demand spurred by coronavirus. https://t.co/yyMRww59jy

@ReporterBlayne has…",1.2581783756188303e+18,SandyBeall#Resist#WearADamnMask#StayHome#VoteJoe,Georgia,,2020-05-06,0.0,,,Twitter for iPad
"RT @NBCNightlyNews: Clorox factories go into overdrive to meet demand spurred by coronavirus. https://t.co/yyMRww59jy

@ReporterBlayne has…",1.258178343574188e+18,Ms. Magoo,"Cariboo, British Columbia",,2020-05-06,0.0,,,Twitter for iPad
"@JrLarryW @Gypsy_VanessaV @kyle_teamjoe @morningmika He said that, and if it wasn’t that stupid Then Lysol and Clor… https://t.co/7QIbU8lEDT",1.2578223352242094e+18,ⓒ,LA,,2020-05-05,1.0,,,Twitter for iPhone
"RT @delphix: In our new reality, the cloud is much more than a mode for digital transformation—it's a necessity. Read our ebook and get ins…",1.257822211722883e+18,Nick Wolff,,,2020-05-05,0.0,,,GaggleAMP
"@mat ordering a case of alcohol, and Clorox wipes back in January. Never thought of the toilet paper",1.2578216976059474e+18,Nick Hennen,"Richland, WA",,2020-05-05,0.0,,,Twitter for iPhone
RT @gtconway3d: The wall hasn’t been built. There aren’t enough tests. He wasn’t totally exonerated. The call wasn’t perfect. North Korea i…,1.2578215552849428e+18,Vigilance&Votes42020,"Madrid, NM",,2020-05-05,0.0,,,Twitter for iPhone
RT @gtconway3d: The wall hasn’t been built. There aren’t enough tests. He wasn’t totally exonerated. The call wasn’t perfect. North Korea i…,1.2578213715451085e+18,Julie,305 ,,2020-05-05,0.0,,,Twitter for iPhone
"RT @TBlountSports: So far today, Mad King Clorox has insulted Jimmy Kimmel, Jimmy Fallon, Stephen Colbert, Steve Schmidt, George Conway, De…",1.2578213494117663e+18,Sandra Moriarity,USA,,2020-05-05,0.0,,,Twitter for iPad
@dazzzle666 I have a full half gallon of Clorox if you guys need it.,1.2578213384099226e+18,Carlos Rodriguez,"Las Vegas, NV",,2020-05-05,0.0,,,Twitter for iPhone
